CVE_ID,Description,PublishedDate,Severity
CVE-1999-1306,"Cisco IOS 9.1 and earlier does not properly handle extended IP access lists when the IP route cache is enabled and the ""established"" keyword is set, which could allow attackers to bypass filters.",1992-12-10T05:00:00.000,
CVE-1999-1466,"Vulnerability in Cisco routers versions 8.2 through 9.1 allows remote attackers to bypass access control lists when extended IP access lists are used on certain interfaces, the IP route cache is enabled, and the access list uses the ""established"" keyword.",1992-12-10T05:00:00.000,
CVE-1999-1021,"NFS on SunOS 4.1 through 4.1.2 ignores the high order 16 bits in a 32 bit UID, which allows a local user to gain root access if the lower 16 bits are set to 0, as fixed by the NFS jumbo patch upgrade.",1992-12-30T05:00:00.000,
CVE-1999-1056,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-1999-1395.  Reason: This candidate is a duplicate of CVE-1999-1395.  Notes: All CVE users should reference CVE-1999-1395 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,1992-12-31T05:00:00.000,
CVE-1999-0312,HP ypbind allows attackers with root privileges to modify NIS data.,1993-01-13T05:00:00.000,
CVE-1999-1507,Sun SunOS 4.1 through 4.1.3 allows local attackers to gain root access via insecure permissions on files and directories such as crash.,1993-02-03T05:00:00.000,
CVE-1999-1218,Vulnerability in finger in Commodore Amiga UNIX 2.1p2a and earlier allows local users to read arbitrary files.,1993-02-18T05:00:00.000,
CVE-1999-1312,"Vulnerability in DEC OpenVMS VAX 5.5-2 through 5.0, and OpenVMS AXP 1.0, allows local users to gain system privileges.",1993-02-24T05:00:00.000,
CVE-1999-1216,"Cisco routers 9.17 and earlier allow remote attackers to bypass security restrictions via certain IP source routed packets that should normally be denied using the ""no ip source-route"" command.",1993-04-22T04:00:00.000,
CVE-1999-1162,Vulnerability in passwd in SCO UNIX 4.0 and earlier allows attackers to cause a denial of service by preventing users from being able to log into the system.,1993-05-24T04:00:00.000,
CVE-1999-0124,Vulnerabilities in UMN gopher and gopher+ versions 1.12 and 2.0x allow an intruder to read any files that can be accessed by the gopher daemon.,1993-08-09T04:00:00.000,
CVE-1999-1215,"LOGIN.EXE program in Novell Netware 4.0 and 4.01 temporarily writes user name and password information to disk, which could allow local users to gain privileges.",1993-09-16T04:00:00.000,
CVE-1999-1138,"SCO UNIX System V/386 Release 3.2, and other SCO products, installs the home directories (1) /tmp for the dos user, and (2) /usr/tmp for the asg user, which allows other users to gain access to those accounts since /tmp and /usr/tmp are world-writable.",1993-09-17T04:00:00.000,
CVE-1999-1318,"/usr/5bin/su in SunOS 4.1.3 and earlier uses a search path that includes the current working directory (.), which allows local users to gain privileges via Trojan horse programs.",1993-09-17T04:00:00.000,
CVE-1999-0145,"Sendmail WIZ command enabled, allowing root access.",1993-09-30T04:00:00.000,
CVE-1999-1137,"The permissions for the /dev/audio device on Solaris 2.2 and earlier, and SunOS 4.1.x, allow any local user to read from the device, which could be used by an attacker to monitor conversations happening near a machine that has a microphone.",1993-10-01T04:00:00.000,
CVE-1999-0334,"In Solaris 2.2 and 2.3, when fsck fails on startup, it allows a local user with physical access to obtain root access.",1993-12-16T05:00:00.000,
CVE-1999-0181,"The wall daemon can be used for denial of service, social engineering attacks, or to execute remote commands.",1994-01-01T05:00:00.000,
CVE-1999-1242,Vulnerability in subnetconfig in HP-UX 9.01 and 9.0 allows local users to gain privileges.,1994-02-07T05:00:00.000,
CVE-1999-0211,Extra long export lists over 256 characters in some mount daemons allows NFS directories to be mounted by anyone.,1994-02-14T05:00:00.000,
CVE-1999-0338,AIX Licensed Program Product performance tools allow local users to gain root access.,1994-02-24T05:00:00.000,
CVE-1999-0120,Sun/Solaris utmp file allows local users to gain root access if it is writable by users other than root.,1994-03-21T05:00:00.000,
CVE-1999-1135,"Vulnerability in VUE 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4994 and PHSS_5438.",1994-04-20T04:00:00.000,
CVE-1999-1146,Vulnerability in Glance and gpm programs in GlancePlus for HP-UX 9.x and earlier allows local users to access arbitrary files and gain privileges.,1994-05-04T04:00:00.000,
CVE-1999-1388,passwd in SunOS 4.1.x allows local users to overwrite arbitrary files via a symlink attack and the -F command line argument.,1994-05-13T04:00:00.000,
CVE-1999-1134,"Vulnerability in Vue 3.0 in HP 9.x allows local users to gain root privileges, as fixed by PHSS_4038, PHSS_4055, and PHSS_4066.",1994-05-18T04:00:00.000,
CVE-1999-0113,Some implementations of rlogin allow root access if given a -froot parameter.,1994-05-23T04:00:00.000,
CVE-1999-0423,Vulnerability in hpterm on HP-UX 10.20 allows local users to gain additional privileges.,1994-06-01T04:00:00.000,
CVE-1999-0337,AIX batch queue (bsh) allows local and remote users to gain additional privileges when network printing is enabled.,1994-06-03T04:00:00.000,
CVE-1999-0207,"Remote attacker can execute commands through Majordomo using the Reply-To field and a ""lists"" command.",1994-06-09T04:00:00.000,
CVE-1999-1239,"HP-UX 9.x does not properly enable the Xauthority mechanism in certain conditions, which could allow local users to access the X display even when they have not explicitly been authorized to do so.",1994-07-13T04:00:00.000,
CVE-1999-1552,"dpsexec (DPS Server) when running under XDM in IBM AIX 3.2.5 and earlier does not properly check privileges, which allows local users to overwrite arbitrary files and gain privileges.",1994-07-20T04:00:00.000,
CVE-1999-1494,"colorview in Silicon Graphics IRIX 5.1, 5.2, and 6.0 allows local attackers to read arbitrary files via the -text argument.",1994-08-09T04:00:00.000,
CVE-1999-1219,"Vulnerability in sgihelp in the SGI help system and print manager in IRIX 5.2 and earlier allows local users to gain root privileges, possibly through the clogin command.",1994-08-11T04:00:00.000,
CVE-1999-1238,Vulnerability in CORE-DIAG fileset in HP message catalog in HP-UX 9.05 and earlier allows local users to gain privileges.,1994-09-21T04:00:00.000,
CVE-1999-1022,"serial_ports administrative program in IRIX 4.x and 5.x trusts the user's PATH environmental variable to find and execute the ls program, which allows local users to gain root privileges via a Trojan horse ls program.",1994-10-02T04:00:00.000,
